,song title,lyrics,artist,genre
16,Wait For Love,"[Verse 1]
Knowing love the way I do
I can say for certain that it's true
There's a chance for me and you
I surely feel like the time is near
The picture in my mind is very clear
I think love has brought us here

[Pre-Chorus]
I remember not too long ago
I was just a lonely person with a lonely heart, yeah
And I was hoping there could one day be
Be a chance for me to...

[Chorus]
Get the love that I'd been missing
Sometimes love takes a long time
But wait for love and you're gonna get the
Chance to love - wait for love, wait for love
Oh my

[Verse 2]
When you take the chance on love you see
It's not a waste of time if you truly believe
The impossible can be
So hold on tight if you think you're right
'Cause nothing hurts as bad as when you see
You gave up too easily

[Pre-Chorus]
Now I remember spending all my time
On a dream that kept me wishing that you could be mine, yeah
And I was hoping there could one day be
Be a chance, whoa, for me to...

[Chorus]
Get the love that I'd been missing
Sometimes love takes a long time
But wait for love and you're gonna get the
Chance to love - wait for love, wait for love
Oh my

[Pre-Chorus]
I never stopped believing there could one day be a chance
For me to...

[Chorus]
Get the love that I'd been missing
Sometimes love takes a long time
But wait for love and you're gonna get your
Chance to love - wait for love, wait for love
And you get the love that you been missing
Sometimes love takes a long time
But wait for love and you're gonna get your
Chance to love - wait for love, wait for love
And you get the love that you been missing
Sometimes love it takes a long time
But wait for love and you're gonna get your
Chance to love - wait for love, wait for love
And you get the love that you been missing
Sometimes love takes a long time
But wait for love and you're gonna get your
Chance to love - wait for love, wait for love
And you get the love...ooh yeah
Sometimes love it takes a long time
But wait for love and you're gonna get your
Chance to love - wait for love, wait for love
And you get the love that you been missing
Sometimes love takes a long time, yeah
But wait for love and you're gonna get the
Chance to love - wait for love, wait for love
And you get the love, woo, that you been missing
Sometimes love takes a long time
But wait for love and you're gonna get the
Chance to love - wait for love, wait for love
And you get the love...
Sometimes love takes a long time
Wait for love",Luther Vandross,Soul
17,There’s Nothing Better Than Love,"[Verse 1]
[Luther Vandross]
I, fell asleep late last night...
And I dreamed the night and almost half the day away
I just got up
So that I could hear her say
She's still in love
And no one can take her love away

[Gregory Hines]
Ooh love, wakes me up every day
And I thought no one
Could ever make me feel this way
It fills me up
Every time I hear her say
She's still in love
And no one could take her love away

[Chorus]
I wanna be loved
There's nothing better than love
What in the world could you ever be thinking of?
It's better by far
So let yourself reach for that star
And go no matter how far
To the one you love
To love

[Verse 2]
[Luther]
And I mean all these words I say
You don't have to guess
What's going on inside my head

[Gregory]
Just try to know
All the things that our hearts say
Listen to love
And always get love to lead the way

[Chorus]
Whenever you love
There's nothing better than love
What in the world could you ever be thinking of?
It's better by far
So let yourself reach for that star
And go no matter how far
To the one you love

[Bridge]
(For love, for love)
You know for love I would go anywhere
(For love) I would go there
(For love, for love)
For love to the ends of nowhere
It's for her love
And for her love
I would go
I would go
I would go
I would go...

[Verse 3]
[Gregory]
And I would love (would love)
To just spend all my time
With a girl
Who makes me feel her love is mine

[Luther]
Someone you see
Who would only dream of me
She'd be in love
Just 'cause she'd want to be

[Chorus]
She'd want to be loved
There's nothing better than love
What in the world could you ever be thinking of?
It's better by far
So let yourself reach for that star
And go no matter how far
To the one you love

Oh, oh...
There's nothing better than love
What in the world could you ever be thinking of?
It's better by far
So let yourself reach for that star
And go no matter how far
To the one you love

Oh, oh...
There's nothing better than love
What in the world could you ever be thinking of?
It's better by far
So let yourself reach for that star
And go no matter how far
To the one you love",Luther Vandross,Soul
18,If I Didn’t Know Better,"I think sometimes I can read your mind
When you make things up I can tell you lie
I see the things that your man can’t see
And I wonder what kind of man is he
The one who you say is your lover
Who you insist takes care of you under the covers
And who is there for you and loves you like no other
Then you kiss and tell me that you love me like a brother

If I didn’t know better
I’d think that you were mine, you’re with me all the time
If I didn’t know better
I’d swear we’re more than friends, you’re touching me again
If I didn’t know better
I’d think we were in love
Girl, do you wanna tell me something?
Oh, oh, oh

I could be wrong about the things you say
But I don’t rub up on my friends that way
You tell me that you’ve always been a flirt
But if it goes wrong, I could get hurt
But no, you insist it’s harmless playin’
It’s just a part of who you are, that it’s just your nature
And that it’s fine
You know I’m a friend, it’s really nothing
You say that I’m just like a…
That I’m just like a brother


If I didn’t know better
I’d think that you were mine, you’re with me all the time
If I didn’t know better
I’d swear we’re more than friends, you’re touching me again
If I didn’t know better
I’d think we were in love
Girl, do you wanna tell me something?
Oh, oh, oh

My idea of a friend is when you
Do a lotta things together and have a lotta fun
But my definition of love is different
You touch and hold each other
And you only want to be alone clinging to each other
Like you and he should be, but like you and I are
Well, I know it sounds crazy but…


If I didn’t know better
I’d think that you were mine, you’re with me all the time
If I didn’t know better
I’d swear we’re more than friends, you’re touching me again
If I didn’t know better
I’d think we were in love
Do you wanna tell me something?
Oh, oh, oh

If I didn’t know better
I’d think that you were mine, you’re with me all the time
If I didn’t know better
I’d swear we’re more than friends, you’re touching me again
If I didn’t know better
I’d think we were in love
Girl, do you wanna tell me something?

If I didn’t know better
I’d think that you were mine, you’re with me all the time
If I didn’t know better
I’d swear we’re more than friends, you’re touching me again
If I didn’t know better",Luther Vandross,Soul
19,Superstar/Until You Come Back to Me (That’s What I’m Gonna Do),"I wanna tell you, baby
The changes I've been going through
Missing you
Missing you

Oh, oh
Till you come back to me
I don't know what I'm gonna do
N-n-n-no, n-n-no

Don't you remember
You told me you loved me, baby
You said
You'd be coming back this way again, baby
Baby, baby, baby, baby, baby
Oh, baby
I love you
Yeah, I really do

Long ago
And oh, so far away
I fell in love with you
Before the second show

And your guitar
And you sound so sweet and clear
But you're not really here
It's just the radio

Don't you remember
You told me you loved me, baby
You said
You'd be coming back this way again, baby
Baby, baby, baby, baby
Oh, baby, yeah
I love you
I really do

(To belong)
Yeah, hey, yeah, yeah, hey, hey
(To belong)
Whoa, ho, oh, whoa, ho, ho
Yeah, yeah, yeah, yeah
Yeah, yeah

You looked for me to be yours
You want my love
But you're on the road
Don't you remember me anymore

Loneliness is such a sad affair
A sad affair
And I can hardly wait
To be with you again

And what to say
To say
To make you come again
Oh, honey
Come on back to me again, yeah, hey
I wanna be
I wanna be anywhere you are

Don't you remember
You told me you loved me, baby
You said
You'd be coming back this way again, baby
Baby, baby, baby
Woo, baby, oh, baby
Yes, I love you
I really do

Yeah, hey
Yeah, yeah, yeah, ooh
Play it easy
Play it easy
Keep it right there
Keep it right there
Keep it right there

Yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah
What are you gonna say?
It's alright
It's alright

Ooh, baby, it's alright
It's alright
Alright now

Keep it right there
Keep it right there
Yeah, yeah, yeah
Yeah, yeah, yeah, yeah

It's alright
It's alright
Ooh, baby, it's alright
It's alright

Say it's alright
It's alright
Say, ooh, baby
It's alright, it's alright

All right now
Eah
L-l-l-l-love
Yeah, yeah, yeah, yeah, yeah
Eah, ooh, ooh, yeah

Say it's alright
It's alright
Ooh, baby
It's alright, it's alright
Alright now
Alright now

I used to be sad
But now it's alright
It's alright
Ooh, baby
It's alright
It's alright
Alright now

I wonder
I wonder
Where are you again tonight?
Are you holding someone else real tight?
I wonder
I wonder, I wonder",Luther Vandross,Soul
20,Bad Boy\Having a Party,"Oh yeah, well alright
Oh yeah, well alright
Oh yeah, well alright
Oh yeah, well alright

[Verse 1:]
Roll back the rug, everybody
Move all the tables and chairs
We're gonna have us a good time tonight

Every time that we meet
We skip and we dip to the beat
Yeah, yeah
What in the world could be better
Than getting together

The last time we had a party
It ended when the sun came up
That's why your mama told you
That you couldn't go out
Stay in the house

[Chorus:]
Bad boy
He's gonna sneak out tonight
He's gonna tip by her window
Cause he sure wants to get out and dance

[Verse 2:]
Everyone's here
Let 'em all in
The chandelier downstairs has fallen
I know it's hard to resist
This is the party no one wanted to miss

But if you don't get home on the double, boy
You're going to be in trouble
I hope your mama don't look in your room
'Cause if she does
She'll be here soon

Boy, she's gonna be mad
You're a bad boy
And you've got it bad, boy
Boy, say goodbye to your friends
'Cause it's gonna be a while
Til you see them again

[Repeat Chorus:]

[Bridge:]
Everybody's swinging
Dancing to the music on the radio
Having a party

Everybody's swinging
Dancing to the music on the radio
You can't go

[Repeat Chorus:]",Luther Vandross,Soul
21,Don’t You Know That?,"[Verse 1]
I got your love
You need to look no further
(Don't you know that?)
Don't you know that?
After my love
You'll never need another
(Don't you know that?)
Don't you know that?

[Pre-Chorus]
I don't make no promises I can't keep
And I promised myself that I'd love you forever
How many times must I say that
For you to understand where I'm at? Yeah

[Chorus]
Don't you know that I love you so
Baby, don't you know?
(Don't you know that?)
I love you so, ooh, don't you know
(Don't you know that?)
Oh

[Verse 2]
Without a doubt
You are my sweetest inspiration
(Don't you know that?)
Don't you know that
I'm always down
For anything that you say
(Don't you know that?)
Don't you know that
I love you so, yeah
I really love you, don't you know, yeah
(Don't you know that?)
Alright, don't you know that
I really, really do, yeah
I'm really so in love with you, yeah
(Don't you know that?)
Alright, ooh, yeah

[Pre-Chorus]
I used to doubt every girl that I'd meet
I thought that nobody could knock me off my feet (look out)
But you are the one who made my heart's bell ring
And that's why I'm sure that this is the real thing, yeah

[Chorus]
Don't you know that I love
(Don't you know, ooh, ooh)
Oh, don't you know that I love
(Don't you know, oh, yeah)
Don't you know that I love you so
(Don't you know that? Hey, baby, really, don't you know that?)
(Don't you know that?)
I bet a million dollars that you know
(Don't you know that? Hey, baby, really don't you know that?)
Ooh, don't you know that
Don't you know I, don't you know I love you
(Don't you know that? Hey, baby, really don't you know that?)
I love you, I'm in love
Ooh, ooh, I love
(Don't you know that? Hey, baby, really don't you know that?)
(Don't you know that? Don't you know that?)
(Don't you know that? Hey, baby, really don't you know that?)
Don't you know, don't you know that I love
(Don't you know that? Hey, baby, really don't you know that?)
Oh, don't you know that?
(Don't you know that? Don't you know that?)
Don't you know I love...
(Don't you know that? Hey, baby, really don't you know that?)
(Don't you know that? Don't you know that?)",Luther Vandross,Soul
22,Your Secret Love,"[Verse 1]
Oh, yes
A kiss in the dark
A certain time I can call you
A letter of love
But no name did you sign
Pretending to all
That we were just friends when I saw you
I didn't know that you wanted me to be
I didn't know that you wanted me for your
(You wanted me) to be

[Chorus]
Your secret love
Why can't we tell somebody?
'Cause secret loves
Never last as long
Your secret love
Will never be your true love
I can't be no secret, baby
It's breakin' my heart

[Verse 2]
You should've let me know, from the first time, baby
That you were not, were not free to love
How could you wait so long?
Oh, what a waste of love, baby
I should known that you wanted me to be
I should known
That you wanted me for your...
(You wanted me) to be

[Chorus]
Your secret love
Why can't we tell somebody?
'Cause secret loves
Never mean as much
Your secret love
Will never be your true love
I can't be no secret, baby
It's breakin' my heart

[Bridge]
I won't be you secret love
'Cause it's just a waste of my love
I'm tellin' you from the start
I won't be the one who gives you love
When your other guy ain't givin' you none

Don't come now, wait for awhile
Let's meet at the place downtown
It's a shame it has to be like this
But I really miss you, baby

[Chorus]
Your secret love
Why can't we tell somebody?
'Cause secret loves
Never last as long
Your secret love
Will never be your true love
I can't be your secret, baby
You're breaking my heart, my heart

Your secret love
Why can't we tell somebody?
'Cause secret loves
Never mean as much
Your secret love
Will never be your true love
I can't be your, I can't be your...",Luther Vandross,Soul
23,"Forever, For Always, For Love","[Intro]
I sing this song to remind myself that
There was a time when I didn't have no one, didn't have no love

[Verse 1]
Do you remember the love that we once had?
Well, if I had the chance to love you again
I would make your heart forget I was ever there
Oh no, no, no, no, no, no
If we forget the past
I know this time love will last forever, for always, for love
Yeah yeah

[Verse 2]
I'm not coming home anymore, doesn't matter
Well, if I had the chance to hold you again
I would fill your heart with joy and make you remember
I'm the only one for you, yes I would
Let's throw the bad memories out and make this the first day of our
Forever, for always, for love

[Bridge]
I'd be a fool to ever change
If she says she loves me the way I, I am
I'd be a fool to ever change, yes yes yes yes
If she says she loves the, loves the way I am
It's gonna be starting here, starting now, yeah yeah yeah
Forever, for always, for love
Do it for the ones we love...

[Outro]
Forever, for always, for love
(Hey yeah, hey yeah, yeah yeah, oh oh, yeah yeah)
Forever, for always, for love
(Don't you know, don't you know, don't you know, don't you know)
Forever, for always, for love
(Your love, your love, baby, ooh, ooh, ooh, hey, ooh)
I'm in love, I can't help myself
Hey yeah, ooh yeah, ooh, comes from my heart
Straight from the heart
Forever, for always, for love
(Gotta say it once again, I can't help myself, I can't help myself)",Luther Vandross,Soul
24,Make Me A Believer,"[Verse 1]
Superman can fly high way up in the sky
'Cause we believe he can
So what we choose to believe can always work out fine
It's all in the mind
So think of a place and imagine a time
(Imagine a time, imagine a time)
And let's go be lovers

Believing me, ooh wee, baby
Is believing right, yeah yeah yeah
And...

[Chorus]
I wanna love, wanna have, wanna hold you, girl (Girl)
So make me a believer
(Wanna love, wanna love, wanna love, wanna love, wanna love, wanna love you, girl)
I wanna love, wanna have, wanna hold you, girl (Girl)
Ooh, so near
And forever keep you here

[Verse 2]
Forget all about whatever we fear
(Whatever we fear, whatever we fear)
And let's just be lovers
Loving and loving, oh, love is the way
To make me stay, make me stay

Yeah, I know the way to persuade me over to your side
And I am sure you can
So if you get me to believe
It all will work out fine
'Cause you'll blow my mind

So let's pick a place and a day and a time
(A place and a day and a time)
And then we'll be lovers
Loving and loving, oh, love is the way
To make me stay, make me stay

[Chorus]
I wanna love, wanna have, wanna hold you, girl (Girl)
So make me a believer
(Wanna love, wanna love, wanna love, wanna love, wanna love, wanna love you, girl)
I wanna love, wanna have, wanna hold you, girl (Girl)
So make me a believer
(Wanna love, wanna love, wanna love, wanna love, wanna love, wanna love you, girl)
I wanna love, wanna have, wanna hold you, girl (Girl)
So make me a believer
(Wanna love, wanna love, wanna love, wanna love, wanna love, wanna love you, girl)
I wanna love, wanna have, wanna hold you, girl (Girl)
So make me a believer
(Wanna love, wanna love, wanna love, wanna love, wanna love, wanna love you, girl)
I wanna love, wanna have, wanna hold you, girl (Girl)
So make me a believer
(Wanna love, wanna love, wanna love, wanna love, wanna love, wanna love you, girl)",Luther Vandross,Soul
25,Think About You,"Oh oh yeah yeah
Oh yeah, yeah yeah

So close to paradise but closer than I should be
It's like I'm along for the ride, it happened unexpectedly
Promised myself that I wouldn't ever love again
But you make me feel something, my mind's always on you

I was standing in the rain
(I thought about you)
I was riding on the train
(I thought about you)
Feeling high like I seem to do
Every time I think about you

Saw two lovers start to kiss
(I thought about you)
Had to hold back the tears
(I thought about you)
Other girls no more exist
All because I think about you

Nothing seems to help, I don't even know myself
I'm trying not to think of you but a heart does what it wants to do
Pass you by, see you smile and I must admit I get
So emotional, I think I'm falling for you

Bought a pillow for my room
(I thought about you)
Heard Alicia sing a tune
(I thought about you)
It sends my rocket to the moon
(Every time I think about you)
Happens every time oh

Right from this heart of mine
(I thought about you)
I wanted you every time
(I thought about you)
What I'm feel is so divine
And it's all because I think about you

But I, I'm constantly reminded
(I, I)
Reminded that you're only someone who I'd like to know
You don't know me, you're my private fantasy
You're with me, constantly in my mind
(You you you you you you)
Oh you
(You you you)
Happens every time I think about you you you you you you
(You you you)
Oh you you
(You you you)
And I
(You you you)
I do need you
(Every time I think about you)

Had a lovely day today
(I thought about you)
Wasn't hard to get through
(I thought about you)
Seems to happen easily
Every time I think about you

Took a walk with myself
(I thought about you)
Wish it could've been with you
(I thought about you)
But every star in the sky came out for me
And it's all because I think about you

(You you)
(I thought about you)
You
(You you)
(I thought about you)
(Lovin' you baby)
Yeah yeah, every time I think about you
(Lovin' you baby)

(You you)
You
(I thought about you)
(Lovin' you, lovin' you baby)
(You you)
You
(I thought about you)
You you
(You you you)
All because I think about you
(Lovin' you baby)

(You you)
(I thought about you)
(You you)
I feel baby
(I thought about you)
(Lovin' you baby)
(You you you)
Every time I think about you
(I think about you)
(Lovin' you, lovin' you baby)

(You you)
(I thought about you)
Love you baby, oh yeah
(You you)
(I thought about you)
(Lovin' you baby)
(You you you)
And it's all because I think about you
(Lovin' you baby)",Luther Vandross,Soul
26,Give Me the Reason,"[Intro]
Ooh-ooh-ooh-ooh-ooh
Yeah-yeah
Ooh-ooh
Eah-eah-eah, oh

[Verse 1]
What's there to say
There's not much to talk about
And whatever happened
To all of the love that we vowed
Yes, it's true
And there's nothing new you can say

[Chorus]
Give me the reason to want you back
And why should I love you again
Do you know
Tell me how, how to forgive and forget
Give me the reason to love you now
It's been a mighty long time
And the love that used to be
Ended the day you walked out
Never knew I'd ever be
Standing alone and outside
With no one to love

[Break]
Yeah-eah
Ooh-ooh-eah

[Verse 2]
I was secure and so glad
There was you to love
What in the world would I ever do without us
But it's getting clear
That I have to get over you

[Chorus]
Give me the reason to want you back
And why should I love you again
Do you know
Tell me how, how to forgive and forget
Give me the reason to love you now
It's been a mighty long time
And the love that used to be
Ended the day you walked out
Never knew I'd ever be
Standing alone and outside
With no one to love

[Post-Chorus]
No one, no one to love
No one, no one to love
No one, no one to love
No one, no one

[Break]
Yeah, yeah
Yeah, yeah
Yeah, yeah
You, ooh-eah-eah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah

[Chorus]
Give me the reason to want you back
And why should I love you again
Do you know
Tell me how, how to forgive and forget
Give me the reason to love you now
It's been a mighty long time
And the love that used to be
Ended the day you walked out

[Outro]
Give me the reason to
Love you, girl
To love you, girl
To love you, girl
To love you, girl
To love you, girl
To love you, girl
To love you, girl
Give me the reason to
To love you, girl
To love you, girl
To love you, girl
To love you, yeah
To love you, girl
To love you, girl
You, yeah
To love you, girl
To love you, girl
Ooh-eah
To love you, girl
To love you, girl
To love you, girl
To love you, girl
To love you, girl
To love you, girl
To love you, yeah
To love you, girl
To love you, girl
You, yeah
To love you, girl
To love you, girl",Luther Vandross,Soul
27,Love Won’t Let Me Wait,"[Verse 1]
I need to have you next to me
In more ways than one
And I refuse to leave
'Til I see the morning sun

The time is right
You hold me tight
And love's got me high
Please tell me, 'Yes'
And don't say 'No'
Honey, not tonight

Move a little close to me
You owe it to yourself
And I will selfishly
Take a little for myself
And it's because of you
That love won't let me wait

Yeah, yeah

[Verse 2]
The time is right
Turn down the lights
And take my hand, yeah
We'll take a flight
And spend the night in Wonderland

And I need to have you next to me
In more ways than one
And I refuse to leave
'Til I see the morning sun
Creep through your window pane
Because love won't let me wait
Not another minute

Ooh ooh ooh. yeah, yeah...

[Verse 3]
And I need your love so desperately
And only you can set me free
When I make love to you
We'll explode in ecstasy
And I won't take the blame
That love won't let me wait

Love won't, no, no, no
Love won't, no, no, no
No, no, no, no
(Love won't let me wait)
Yeah, yeah
Love won't
I said
(Love won't let me wait)
My baby
My temperature's risin', ooh
(Love won't let me wait) Won't let me
Not another minute
(Love won't let me wait) Won't let me

[Outro]
Baby, baby
(I can't wait) I can't wait (I can't wait) I can't wait
I can't wait (I can't wait)
I can't wait, no, no, no, can't wait
(Wait) No way, no way, no, no, no, no
No way, no way, no, no way
(Ooh ooh...) Ooh, ooh, ooh, dee-dee-dee-dee-dee, yeah
(Wait) I can't wait, not another minute
Not another minute (I can't wait, I can't wait)
I'll be there (I can't wait) yes, I will
I'll be there
(Wait) Comin', I'm comin', I'm comin'
Hold on, I'm comin', I'm comin', I'm comin'
(Ooh ooh...) I can't wait, can't wait
I can't wait, can't wait
No way, no way, no way, no, no
No, no, no, no
(Wait) Ooh yeah, ooh, ooh...
(I can't wait, I can't wait, I can't wait)
(Wait)",Luther Vandross,Soul
28,Creepin’,"...And it's gon' be tonight

[Verse 1]
I can hear you sighing
Saying you'll stay beside me
Why must it be, you always creep
Into my dreams

[Verse 2]
Oh, oh, on the beach we're sitting
Hugging, squeezing, kissing
Why must it be, you always creep
Into my dreams
My my my my dreams

[Bridge]
When I'm sleep at night, baby
I feel those moments of ecstasy
And when you sleep at night, baby
I wonder do I creep into your dreams
Or could it be I sleep alone in my fantasy

[Verse 3]
Oh love is so amazing (Oh oh oh oh)
Guess you will be staying
So let it be that you always creep
Into sure 'nough my dreams

[Outro]
(Creep creep)
My nighttime is the right time dream (Creep)
(Right time) (She creep)
Ooh, yeah, I can see you walking down the street
You don't like to walk, you creep
Into my sure 'nough dream
Dre-ee-ee-ee-ee-ee-eam , yeah yeah yeah (You creep)
Creep (Creep creep)
Creep (Creep creep creep creep)
Yeah (Creep)
Ha ha, two times (Creep creep)
Hey, every time I close my eyes (She creep)
Now sing it for me four times (Creep creep creep creep)
Yeah, oh hey... (Creep) (She creep)
(Creep creep creep creep) (She creep)
(Creep)",Luther Vandross,Soul
29,Since I Lost My Baby,"[Verse 1]
The sun is shining, there's plenty of light
A new day is dawning, sunny and bright
But after I've been crying all night
The sun is cold and the new day seems old

[Chorus]
Since I lost my baby
Oh, since I lost my baby

[Verse 2]
The birds are singing and the children are playing
There's plenty of work, and the bosses are paying
Not a sad word should a young heart be saying
But fun is a bore, and with money I'm poor

[Chorus]
Since I lost my baby (Since I lost my baby)
Oh, since I lost my baby
(My baby), my baby, (my baby)

[Bridge]
Next time I'll be kinder, to my baby
Won't you please help me find her (I've got to find my girl)
Someone just remind her
(Someone just remind her, someone just remind her)
Of this love she left behind her (of me, ooh ooh ooh)
'Til I find her, I'll be trying to ('Til I find her, I'll be trying to)
Every day I'm growing kinder
Tryin'...inclined to...find her
Inclined to find my baby (My baby)
I've been looking everywhere (My baby)
Hey baby, I really really care
I care, I care...

[Verse 3]
My determination is fading fast, so fast, so fast
Inspiration is a thing of the past
I can't see how my hope's gonna last
But good things are bad (so bad) and what's happy is sad
So sad, so sad, I'm sad, so sad, so sad

[Chorus]
Since I lost my baby (since I lost my girl)
Oh, since I lost my baby (since I lost my baby)
I feel so bad (Got to find that girl, I've got to find my girl)
I feel so sad, yeah-eh
(Since I lost my-, since I lost my-, my, my, my, my baby)
'Cause everything is gone (Got to find that girl, I've got to find my girl)
And it's hard girl, to carry on
(Since I lost my-, since I lost my-, my, my, my, my baby)
I know it's up to me (Got to find that girl, I've got to find my girl)
What's gonna happen to me?
(Since I lost my baby)
What's gonna happen to me?
Oh, I don't know, I don't know, what I'm gonna do no, no, no, no
I don't know
Since I lost my baby
I don't know, I don't know what to do without, my girl, my girl, my girl
I don't know
Since I lost my baby, yeah

(No no) I can't find her nowhere (don't go)
Nowhere (Since I lost my baby, yeah)
Nowhere, nowhere, nowhere, oh no
(I don't know, since I lost my baby, yeah)
Yeah (Don't know) I can't find her nowhere (don't know)
Nowhere (Since I lost my baby)
Nowhere, nowhere, nowhere, nowhere, nowhere, nowhere, nowhere
(I don't know, since I lost my baby, yeah)

(Don't know) I can't find her nowhere (I don't know)
Nowhere (Since I lost my baby)
Nowhere, nowhere, nowhere
(I don't know, since I lost my baby, yeah)

(Don't know) I can't find her nowhere (I don't know)
Nowhere (Since I lost my baby)
Nowhere, nowhere, nowhere...",Luther Vandross,Soul
30,Any Love,"[Verse 1]
Everyone needs a love no doubt
Any love
Any love
Everybody feels alone without
Any love
Any love

[Verse 2:]
I know there's a love
Waiting to enter my life
Enter my life

Every day as I live
I try to think positive
I pray for someone good to come
Any love

Love is sweet and so divine
And I can't wait
For my love life to shine
Can anybody tell me
Where I can find any love
Any love?

[Repeat Chorus:]

[Bridge:]
I know there's someone waiting for me
To enter my life
Come into my life

Suddenly I'm up in clear blue skies
Lonely tears start to fill my eyes
I can weep
But I refuse to cry
I've got to keep holding on
To think love is strong
To keep holding on

[Repeat Chorus:]

And I know
I know, I know
I know she'll come into my life
Come into my life

[Repeat Chorus:]",Luther Vandross,Soul
31,This Is Christmas,"[Verse 1]
Don't be discouraged
Don't be dismayed
There's hope for all in this world
'Cause this is Christmas day

[Pre-Chorus]
Say a little prayer for the world
God teach us love
Though you think He doesn't hear
I know he does

[Chorus]
This is Christmas
Let the world sing
Let us all begin to heal
Hallejuah, this is Christmas
And with love we can begin today

[Verse 2]
Christmas bells ring
People's heart sing
I forget about all the troubles I seem to have
Tell myself to feel how my brother feels
Try to love'em and maybe then I could understand

[Pre-Chorus]
Make a little room in our hearts
No heart's to small
Can love each other today?
'Cause after all...

[Chorus]
This is Christmas
Let the world sing
Let us all begin to heal
Hallejuah, this is Christmas
And with love we can begin today

[Bridge]
Come, come, come see the little one
Come, come, come see the little one
Come see the baby
(Yeah yeah yeah yeah, ooh ooh ooh ooh, come...)
Come see the baby
(Yeah yeah yeah yeah, ooh ooh ooh ooh, you know, you know...)

[Chorus]
This is Christmas
Let the world sing
Let us all begin to heal
Hallejuah, this is Christmas
And with love we can begin today
This is Christmas
Let the world sing
Let us all begin to heal
Hallejuah, this is Christmas
And with love we can begin today
This is Christmas
Let the world sing
Let us all begin to heal
Hallejuah, this is Christmas
And with love we can begin today
This is Christmas",Luther Vandross,Soul
32,Everybody Rejoice,"Everybody look around
'Cause there's a reason to rejoice you see
Everybody come out
And let's commence to singing joyfully
Everybody look up
And feel the hope that we've been waiting for

Everybody's glad
Because our silent fear and dread is gone
Freedom, you see, has got our hearts singing so joyfully
Just look about
You owe it to yourself to check it out
Can't you feel a brand new day?
Can't you feel a brand new day?
Can't you feel a brand new day?
Can't you feel a brand new day?

Everybody be glad
Because the sun is shining just for us
Everybody wake up
Into the morning into happiness

Hello world
It's like a different way of living now
And thank you world
We always knew that we'd be free somehow
In harmony
And show the world that we've got liberty

It's such a change
For us to live so independently
Freedom, you see, has got our hearts singing so joyfully
Just look about
You owe it to yourself to check it out
Can't you feel a brand new day?
Can't you feel a brand new day?

Everybody be glad
Because the sun is shining just for us
Everybody wake up
Into the morning into happiness
Hello world
It's like a different way of living now
And thank you world
We always knew that we'd be free somehow
In harmony
And show the world that we've got liberty

It's such a change
For us to live so independently
Freedom, you see, has got our hearts singing so joyfully
Just look about
You owe it to yourself to check it out
Can't you feel a brand new day?
Can't you feel a brand new day?
Can't you feel a brand new day?
Can't you feel a brand new day?",Luther Vandross,Soul
33,Too Proud to Beg,"Love came to me that day
Stayed longer than I planned
But change is good, they say
So I rearranged my world for them
For her and love and, here I go again

I spoke to my heart
Said, ""Open up wide""
Then got the message you had changed your mind
And now here I am, and I just don't understand

Baby, if you talk to me then I will listen
There can't be no ""us"", honey, if ""you"" are missin'
Yes I love you, yes I need you
Ain't no world for me without you
I want you, I'm just too proud to beg

So sad the journey made
So high the price you have to pay
All for love
And it hurts you anyway
I can't let me lose my soul to hope and wishing
You don't understand me, I know that you think...

I don't love you, I don't need you
But, my intentions are to love you
See, I want you, I'm just too proud...
To beg for your love, honey
So don't put me through it
Take a little time to think about what you're doing
And try to understand why...

Yes I love you, yes I need you
Ain't no world for me without you
I want you, I'm just too proud to beg
Yes I love you, yes I need you
Ain't no world for me without you
I want you, I'm just too proud to beg
Yes I love you, yes I need you
Ain't no world for me without you
I want you, I'm just too proud to beg
Yes I love you, yes I need you
Ain't no world for me without you
I want you, I'm just too proud to beg
Yes I love you, yes I need you
Ain't no world for me without you
I want you, I'm just too proud to beg",Luther Vandross,Soul
