Artist,Song,Genre,Language,Lyrics
city high,the only one i love,Hip-Hop,en,"Its a Ghetto Fairy Tale... Ya ya ya ya It was two weeks before my son's birthday, The ""DT's"" were ringing my bell. (ma'am we need to ask you a question) They told me the raid, would go down any day, And if I was smart I wouldn't tell. It was all over him ya'll, my boyfriend the criminal. He was caught up in the game, and the F.B.I. warned, If I didn't go along, They'd make sure I never saw my son or my boyfriend again. (Remember This.. u are a convicted felony on probation) But how could i just turn him in? (ma'am if you dont help us you'll never see your son again.. trust me) He would always tell me I know you're afraid, But you can't leave me now. Lean on my shoulder, Soon it'll be over. I'm try'na build our future, I'm doing this for us. Your're the only one I love, The only one I trust. I'd been with him for about, four years, And I swear he gave me anything that I could dream. But the life that he lived was a nightmare, I swear, it wasn't clean. He was blinded, by the cream. All the murderous capaz, the trip to Las Vegas, Making millions from paper blood-stained. Stuck in my head like a song, I saw every sin, I knew every wrong, And if I didn't go along, I'd never see my family again. (so whats it goin to be?.. i know my rights! one phone call from me and your son is going to a foster home answer the question! i dont have ta answer shit!) He would always tell me. I know you're afraid, But you can't leave me now. Lean on my shoulder, Soon it'll be over. I'm try'na build our future, I'm doing this for us. Your're the only one I love, The only one I trust. It was saturday evenin we were home watchin t.v., he looked in my eyes, i wanted to cry my son ran to hug him and kissed him goodnight How could i do this? pledged to do this but i knew he would die! The FEDs rushed the door. yelled ""everyone on the floor"" my man pulled his ""9"" n started to Fire he was a soldier of course, and war he couldent win but without him i coulednt live, so i stood by his side... and went down with him... :( OOOOOOHHHH, no no no no, no no no no, ya ya ya ya, ohhhh.. wooooohhh he would always tell me... (rep. 2x) I know you're afraid, But you can't leave me now. Lean on my shoulder, Soon it'll be over. I'm try'na build our future, I'm doing this for us. Your're the only one I love, The only one I trust. Im sorry... im so sorry"
dar williams,i had no right,Indie,en,"God of the poor man this is how the day began Eight co defendants, I, Daniel Berrigan Oh and only a layman's batch of napalm We pulled the draft files out We burned them in the parking lot Better the files than the bodies of children I had no right but for the love of you I had no right but for the love of you Many roads led here, walked with the suffering Tom in Guatemala, Phillip in New Orleans Oh it's a long road from law to justice I went to Vietnam, I went for peace They dropped their bombs Right where my government knew I would be I had no right but for the love of you I had no right but for the love of you And all my country saw Were priests who broke the law First it was question, then it was a mission How to be American, how to be a Christian Oh if their law is their cross and the cross is burning The love of you The love of you God of the just I'll never win a peace prize Falling like Jesus Now let the jury rise Oh it's all of us versus all that paper They took the only way they know who is on trial today Deliver us unto each other, I pray I had no right but for the love of you And every trial I stood, I stood for you Eyes on the trial Eight a.m. arrival Hands on the Bible"
busy signal,move on,Electronic,en,"Everybody fi a bounce Everybody fi a move Mi si old, mi si young In a dancing too Everybody to the group Stepping out, stepping out Wi a winner can't lose Stepping out, stepping out People know mi clean any time mi come out Mi thing dem different, mi style can't run out A no nothing regular, this can't burn out A dead in a yo area, hotter than the sun out Move to the music, move to the music Tun it up, up, up, 'til yo lose it Never confuse, abuse or refuse it No reggae, dancehall, different genre mi fuse it So mi si the young and the old dem a lose control And a music bring the joy to dem soul Watch mi tun it up, tun it up So wi roll, just listen keen to how the story unfold So when we, touch the road, touch the road Dem no bad as wi, fresher than Fresh Prince Badder than Bill Cosby Si dem a run up and down like a annnancy Can't keep a good man down like Kolonji Hey, mi head a blaze like fire now And mi have style fi spare like tire now Blaze the grades, bun it up to the sky yah now In a mi ears music a whisper yah now"
george shearing,cuban love song,Jazz,en,"I love you that's what my heart is saying
While every breeze is playing our Cuban love song
I love you for all the joy you brought me
The lovely night you taught me our Cuban love song
One melody will always thrill my heart
One kiss will cheer me when we're far apart
(Dear one) I love you with such a tender passion 
and only you could fashion our Cuban love Song
 
I love you that's what my heart is saying
While every breeze is playing our Cuban love song
I love you for all the joy you brought me
The lovely night you taught me our Cuban love song
One melody will always thrill my heart
One kiss will cheer me when we're far apart
(Dear one) I love you with such a tender passion
"
chiddy bang,handclaps guitars,Hip-Hop,en,"Everybody's simple then and these niggas is simpletons Tell them bitches fall back, just like they was limboin' We still got a Acura but show time we be limoin' Rest in peace to the dead, bring that white widow in Chiddy's '90s baby, it ain't gold and shiny baby She been tryin' to buy me lately Got a temper tiny baby Yeah, swelly is just a movement, hope you understand that Yo, Xaph, it's crazy how we sample on that hand-clap And that's quite amazing if they ask me Shit, does somebody have a L that they could pass me? I upgraded to a little more classy I guess I got this in the bag, we should have tea English girls, English girls, shorty said she came in part To the fact I'm good with words, yeah I got them language arts Cruisin' by the ocean cause I know this is a game of sharks Music and money, bet I never let it change my heart Oh oh ooh oh, I just came to party Grind don't stop, I'm on top Liquor closes 9 o'clock And they say I'm dripping swell, somebody should find a mop I be where it's sunny then I'm touring where the climate drops Watch for police then hit boutiques like it is time to cop Yeah, I'm just trying to park, so can I find my spot? Paris complainin' sayin' we don't spend time a lot I'm super chill, but I think that's just the pot in me Plus we be feelin' like that movie that they gotta see So, who hot as me? Take a bitch on a Oddyssey We just smoke a lot of tree, it's good for the economy Yeah I'm still up on my grizzly, Mike Conley That was just a preview, cause they got nothing on we Fresh whenever comin' out, mixtape laundry Started off a van, elevated to an R&V; Then a few niggas got emotional, R&B; Cause when your shit get in their face it really ain't hard to see Oh oh ooh oh, I just came to party"
supremes,(don't break these) chains of love,Pop,en,"Please don't ever break these chains of love
You've wrapped around me
'Cause I've been so happy darling
Ever since the day you've bound me
So tighter, pull 'em tighter
Till I feel love's sweet pain
'Cause these chains of love
Keep me from going insane
Love, oh love sweet love
Comes but once in a lifetime
The only love I need is yours
And oh, darling, I hope you need mine
So tighter, pull 'em tighter
Till I feel love's sweet pain
'Cause these chains of love
Keep me from going insane
I felt so sure I could resist you
My mistake was the first time I kissed you
Now I'm caught in a web of my own making
My heart's full of love and it's yours for the taking
Ooh, take it, baby don't break it
Just like a thief in the night
You stole my heart away
But now that you stolen it darling
I've only got one thing to say
Tighter, pull 'em tighter
Till I feel love's sweet pain
'Cause these chains of love
Keep me from going insane
These chains of love
Tighter, tighter, tighter these chains
Chains of love
Baby, baby, baby these chains
Chains of love
Lock 'em up, lock 'em up, lock 'em up
Chains"
raven symone,betcha' didn't know (feat. missy elliott),Pop,en,"Dr
seuss
Dr
seuss
Chorus
Ooh I got a crush on you
I betcha didn't know
Ooh I got a crush on you
Yesterday at school I saw you as you passed me by
And all your girls they were calling you names
But I still think your fly
Baby I wanna do it like you
But it must be the things you do
Cause 'im too young to fall in love yo
I ca'nt get you off of my mind
I think about you all the time
Been keeping it a secret
But I've got a crush on you
Ooh I got a crush on you
I betcha didn't know
Ooh I got a crush on you
Yesterday at school I saw you as you passed me by
And all your girls they were calling you names
But I still think your fly
Ooh I got a crush on you
I betcha didn't know
Ooh I got a crush on you
Yesterday at school I saw you as you passed me by
And all your girls they were calling you names
But I still think your fly
The way you spell your pretty name
is so different from the rest
You know I'ts you that I want impress
gonna get an a on my test and do my very best
Baby I wanna do it like you
But it must be the things you do
Cause 'im too young to fall in love yo
I ca'nt get you off of my mind
I think about you all the time
Been keeping it a secret
But I've got a crush on you
Ooh I got a crush on you
I betcha didn't know
Ooh I got a crush on you
Yesterday at school I saw you as you passed me by
And all your girls they were calling you names
But I still think your fly
Ooh I got a crush on you
I betcha didn't know
Ooh I got a crush on you
Yesterday at school I saw you as you passed me by
And all your girls they were calling you names
But I still think your fly
Ooh I got a crush on you
I betcha didn't know
Ooh I got a crush on you
Yesterday at school I saw you as you passed me by
And all your girls they were calling you names
But I still think your fly
Ooh I got a crush on you
I betcha didn't know
Ooh I got a crush on you
Yesterday at school I saw you as you passed me by
And all your girls they were calling you names
But I still think your fly
I thought about telling my mother
but I don't think she'd like that too much
So instead, I think I'll just write you a letter
Missy elliot rap
Top, top on the shock on the spot
Raven loves six so here comes the doc
Well lil' raven come and get your shovel and dig this
We top the seuss kick
Never fell in love with tamika through
it was my teacher too much for me to lead up to
They used to tell me you'll be seuss when your older
If you take the time and be patient
when your all grown up you can find love and take it
Cause I'm cute, leave the seuss
I'm too old for you but I can dig it for the crew
We can go cruising' on my jet
We can play ninjas on three
Off for some popcorn and some ice cream
and I can be your little ice cream dreams
Ooh I got a crush on you
I betcha didn't know
Ooh I got a crush on you
Yesterday at school I saw you as you passed me by
And all your girls they were calling you names
But I still think your fly"
billy dean,i shoulda listened,Country,en,"Tonight, I'm as lonely as it gets Wish I could say I've no regrets But I didn't realize back then Just exactly what I had Now I do and it's so sad Ooh, I miss you bad I shoulda listened To the beating of my heart When I held you close To the words I said when I said ""I'll never let you go"" I shoulda listened To the voice inside my head That said, ""It's love"" Now all I hear Is the sound of falling tears I shoulda listened My mind, doesn't hesitate to say ""Oh, you fool, you let her slip away"" But I just don't want to hear the truth So I try to cover my ears But I'm coming in louder and clear Wish I had when you were here I shoulda listened To the beating of my heart When I held you close To the words I said when I said ""I'll never let you go"" I shoulda listened To the voice inside my head That said, ""It's love"" Now all I hear Is the sound of falling tears I shoulda listened Oh, I shoulda listened To the voice inside my head That said, ""It's love"" Now all I hear Is the sound of falling tears I shoulda listened Yes, all I hear Is the sound of falling tears I shoulda listened I shoulda listened (I shoulda listened) I shoulda listened"
the epoxies,you kill me,R&B,en,I'll wait for this I'll wait for you to rise And you bring me through you make my senses shine I drink from you a sensation close to wine And I bust them blind And I am no longer mine You kill me (Repetition Ridicule) You kill me (Integration Go to school) You kill me (Population Override) You kill me (Radiation Suicide) You leave so quick is there logic to this price Let this sensation slip away I get pulled out in the tide I want to live but I feel this stitch inside Fixation overdrive you make my senses wind Repetition Ridicule Integration Go to School Population Override Radiation Suicide
lick,drag,Indie,en,"All night dreaming waking up is nothing new
Grab my stuff I'm off to do
All the things that all the things that keep me here
Are all the things that make me were
I keep hanging on to what is getting
Better is it getting better

Look its happening all over again
Can't let it drag us down
Look its happening all over again
Can't let it drag us
Won't let it drag us down

All ways dreaming waking up is nothing new
Grab my stuff I'm off to do
Oh no what now oh my mind is in a crunch
Oh my mind is in a crunch

But I'll keep hanging on to what is getting
Better or is it getting better
I don't know any more

Look its happening all over again
Can't let it drag us down look its happening all over again
Can't let it drag us
Won't let it drag us 

We won't know what to do about it
We won't know how to act about it
We won't let it
We can't let it drag

Look its happening all over again
Can't let it drag us down
Look its happening all over again
Can't let it drag us
Won't let it drag us
Can't let it drag us
Won't let it drag us"
half moon run,no more losing the war,Indie,en,"Somebody stop her 
The lifter 
The runner 
The girl with the gold in her mouth 

They caught her at London 
Waterloo station 
Strung up on a Ferris wheel 

She used to lose pageants 
""pick of the litter"" 
The newspapers screamed from their racks 
Pictures at seven, nine-teen eighty-something 
The waltz on her father's shoes 

No more losing the war, Karen 
No more losing the war, Karen 

But I really knew her 
In an after-pub-closing way 
Falling down, crawling drunk laughing like children with sugared up gullets 
I rue this day 

No more losing the war, Karen 
Oh Karen

No more losing the war 

You got me all frustrated 
In an old fashioned way 

Easy does it rider 
I've had a long, long day 

No more losing the war, Karen 
No more losing the war, Karen"
janet jackson,empty,Pop,en,"How could it be
That you know me
My deepest fears
My fantasies
Confide in you
What no one knows
But it feels so good

Chorus:
When I close my eyes
I can see your face
When I lick my lips
I can taste your smile
When I see your name
My heart starts to race
If I can't read your thought
Then I feel empty

Is this a new
Way to love
Never face to face
Is it enough
Does it really count
Or am I a fool
So tell me please
Am I wasting my time

Your phrases
Descriptive
And though the textured words
With beauty
You post it
And use such colored verbes
We've never meet

Repeat Chorus

I'm rushin' home
To turn you on
Sometimes you're there
Sometimes you're gone
Wait for hours
For your return
So tell me please
Am I wasting my time

Your phrases
Descriptive
And though the textured words
With beauty
You post it
And use such colored verbes
So tell me

You think that
Maybe we're gone insane
To find a, a lover
And thought the words of pain
We never meet
."
the rolling stones,flip the switch,Rock,en,"A scrap of flesh 
And a heap of bones 
One deep high 
And a desperate moan 

Three black eyes 
And a busted nose 
I said oh yeah, oh yeah 

Take me up 
Baby I'm ready to go 
Shake me up 
Baby I'm ready to go, yeah 
Take me up 
Baby I'm ready 
Baby, baby I'm ready to go 
(Chill me, freeze me, It's in my blood) 

I'm not going to burn in hell 
I cased the joint 
And I know it well 
Maybe my carcass 
Would feed the worms 
But I'm working 
For the other firm 

Take me up 
Baby I'm ready to go 
Fix me up 
Baby I'm ready to roll, yeah 
Set me up 
Baby, baby, baby I'm ready to go 
(Chill me, freeze me, It's in my blood) 
Flip the switch 

I got my money, my ticket 
All that shit 
I even got myself 
A little shaving kit 
What would it take 
To bury me 
I can't wait 
I can't wait to see 

I got toothbrush, mouthwash 
All that shit 
I'm looking down 
In the filthy pit 
I had the turkey 
And the stuffing too 
I even saved 
A little bit for you 

Lethal injection is a luxury 
I want to give it 
To the whole jury 
I'm just dying 
For one more squeeze 
Oh yeah 
Oh yeah 

Pick me up 
Baby I'm ready to go 
Take me up 
Baby I'm ready to blow 
Take me up 
Baby if you're ready to go 
Baby I got nowhere to go 
Baby I'm ready to go 
(Chill me, freeze me, to my bones) 
Flip the switch"
supertramp,an awful thing to waste,Rock,en,"You say that you could do with a break
Had about all you can take
You need to find somewhere you can run to
Somewhere a long way from here
Somewhere where the skies are all clear
Somewhere you can think all your thoughts through
It took a long time to make me understand
You gotta meet life and shake it by the hand
You gotta use your emotion
You talk a nice line to put your mind at ease
You want to sit back and count your memories
But that's no solution
I don't want to harp about it
But what you gonna do about it?
Look at how you're set in your ways
You used to be so willing to face
Any kind of problem before you
Life is not as long as you think
Open up your mind and you'll see
Don't destroy yourself I implore you
You've got a fine wife, a perfect family
You had it all planned to live so carefully
But where does it get you
They say the mind is an awful thing to waste
And that's a fact that you must come to face
What more can I tell you?
I don't want to harp about it
But what you gonna do about it?
You have everything you that need
You only have to try to succeed
And realize it's all waiting for you
Living life this way is a bust
If you have to suffer you must
Don't you know we want to applaud you"
beastie boys,ch check it out,Hip-Hop,en,"All you Trekkies and TV addicts Don't mean to diss don't mean to bring static All you Klingons in your grandma's house Grab your backstreet friend and get loud Blowin' doors off hinges I'll grab you with the pinchers And no, I didn't retire I'll snatch you up with the needle-nose pliers Like Mutual of Omaha With the ill boat you've never seen before Glidin' in the glades And like Lorne Greene you know I get paid Like Caprese and with the basil Not goofy like Darren or Hazel I'm a motherfuckin' ""Nick at night"" With classics rerunning that you know all right Now remain calm, no alarm, 'cause my farm ain't fat So what's up with that? I've got friends and family that I respect When I think I'm too good they put me in check So believe when I say I'm no better than you Except when I rap so I guess it ain't true Like that y'all and you just don't stop Guaranteed to make your body rock Check-ch-check-check-check-ch-check it out What-wha-what-what-what's it all about? Work-wa-work-work-work-wa-work it out Let's turn this, turn this party out Said, Doc what's the condition? I'm a man that's on a mission Said, son, you'd better listen Stuck in your (what?) is an electrician Like a scientist When I'm applying this Method of controlling my mind Like Einstein and the rappin' Duke combined Now, hey, baby bubba now what the deal? I didn't know you go for that mass appeal Some call it salugi, some hot potato I stole your mic and you won't see it later 'Cause I work magic like a magician I add up like a mathematician I'm a bank cashier, engineer I wear cotton but I don't wear sheer Shazam and abracadabra In the whip I'm gonna cruise past ya Yo, money, don't chump yourself Put that (what?) back on the shelf Light rays blazin' You're out of phase, and my crew's amazin' We're working on the record yo, so just stay patient Check-ch-check-check-check-ch-check it out What-wha-what-what-what's it all about? Work-wa-work-work-work-wa-work it out Let's turn this, turn this party out Now, I go by the name of the King Adrock I don't wear a cup nor a jock I bring the shit that's beyond bizarre Like Miss Piggy, who moi? I am the one with the clientele Who say, Adrock, you rock so well I've got class like pink champale MCA grab the mic before the mic goes stale Don't test me they can't arrest me I'll fake right, cross-over and shoot lefty You look upset, yo, calm down You look like cable guy dunked off of your crown I flow like smoke out a chimney You never been me You want to rap but what you're making ain't Hip-Hop, B Now, get your clothes right out the dryer Put Armor-All up on your tire Sport that fresh attire Tonight we goin' out set the town on fire Set the town ablaze, gonna stun and amaze Ready to throw a craze Make your granny shake her head and say ""those were the days"" Now, check-ch-check-check-check-ch-check it out What-wha-what-what-what's it all about? Work-wa-work-work-work-wa-work it out Let's turn this, turn this party out"
sugarland,everyday america,Rock,en,"Grew up on a tight rope
Learned to smile even when I was falling down
Daddy had a hard hand, and Mama always had hope
And me and my sister couldn't wait to get out

Fell in love out of college
Good man for a bad year
Visions of sugarplums and boxes of roses
All my girlfriends cried, and I was outta here

Whoa, whoa, everybody's dreaming big
Whoa, whoa, everybody's just getting by
That's how it goes in every day America
A little town with a great big life

Joey stares at a trophy
Took us all the way to state back in '85
Shining moment and a dusty reminder
He felt so scared, never felt so alive
But now there's toys in the backyard
Daddy's boys; you know how they like to fight
When they sleep, he swears they're angels
He wouldn't trade a day for all those Friday nights

Whoa, whoa, everybody's dreaming big
Whoa, whoa, everybody's just getting by
That's how it goes in every day America
A little town with a great big life

We can laugh
We can cry
We're all just looking for the reasons why
In a place of dark can we see the light
Either way it'll be alright

Whoa, whoa, everybody's dreaming big
Whoa, whoa, everybody's just getting by
That's how it goes in every day America
A little town with a great big life

Whoa, whoa, everybody's dreaming big
Whoa, whoa, everybody's just getting by
That's how it goes in every day America
A little town with a great big life

A little town with a great big life"
